Title,Artist
Al Di La,Emilio Pericoli
Shout! Shout! (Knock Yourself Out),Ernie Maresca
What's Your Name,Don and Juan
Smoky Places,The Corsairs
Green Onions,Booker T. and The M.G.'s
Groovin',Booker T. and The M.G.'s
Time Is Tight,Booker T. and The M.G.'s
Hang 'Em High,Booker T. and The M.G.'s
Sherry,Frankie Valli and The Four Seasons
Walk Like A Man,Frankie Valli and The Four Seasons
Johnny Get Angry,Joanie Sommers
Rinky Dink,"Dave ""Baby"" Cortez"
Moon River,Henry Mancini
Days Of Wine and Roses,Henry Mancini
Ahab The Arab,Ray Stevens
Gitarzan,Ray Stevens
(The Man Who Shot) Liberty Valance,Gene Pitney
Town Without Pity,Gene Pitney
It Hurts to Be in Love,Gene Pitney
Snap Your Fingers,Joe Henderson
Let's Dance,Chris Montez
The More I See You,Chris Montez
Cindy's Birthday,Johnny Crawford
You'll Lose A Good Thing,Barbara Lynn
Uptown,The Crystals
Da Doo Ron Ron,The Crystals
Then He Kissed Me,The Crystals
Patches,Dickey Lee
Laurie (Strange Things Happen),Dickey Lee
Dear One,Larry Finnegan
Her Royal Majesty,James Darren
Old Rivers,Walter Brennan
A Swingin' Safari,Billy Vaughn
Percolator (Twist),Billy Joe and The Checkmates
Twistin' Matilda,Jimmy Soul
If You Wanna Be HappyIf You Wanna Be Happy,Jimmy Soul
Walk On The Wild Side,Jimmy Smith
Soul Twist,King Curtis
I'm Blue (The Gong-Gong Song),The Ikettes
Where Have All The Flowers Gone?,The Kingston Trio
If I Had A Hammer,"Peter, Paul and Mary"
"Puff, The Magic Dragon","Peter, Paul and Mary"
Blowin' In The Wind,"Peter, Paul and Mary"
I Dig Rock And Roll Music,"Peter, Paul and Mary"
I Wish That We Were Married,Ronnie and The Hi-lites
Surfin' Safari,The Beach Boys
Surfin' U.S.A.,The Beach Boys
Surfer Girl,The Beach Boys
Shut Down,The Beach Boys
I Get Around,The Beach Boys
"Help Me, Rhonda",The Beach Boys
California Girls,The Beach Boys
Good Vibrations,The Beach Boys
Sloop John B,The Beach Boys
Barbara Ann,The Beach Boys
Sugar Shack,Jimmy Gilmer and The Fireballs
The End Of The World,Skeeter Davis
I Can't Stay Mad at You,Skeeter Davis
Rhythm Of The Rain,The Cascades
He's So Fine,The Chiffons
One Fine Day,The Chiffons
Hey Paula,Paul and Paula
Fingertips,Stevie Wonder
Uptight (Everything's Alright),Stevie Wonder
I Was Made To Love Her,Stevie Wonder
Shoo-Bee-Doo-Be-Doo-Da-Day,Stevie Wonder
My Cherie Amour,Stevie Wonder
Washington Square,The Village Stompers
It's All Right,The Impressions
Keep On Pushing,The Impressions
I'm So Proud,The Impressions
My Boyfriend's Back,The Angels
Sukiyaki,Kyu Sakamoto
She's A Fool,Lesley Gore
It's My Party,Lesley Gore
Judy's Turn to Cry,Lesley Gore
You Don't Own Me,Lesley Gore
California Nights,Lesley Gore
So Much In Love,The Tymes
I'm Leaving It Up To You,Dale and Grace
Deep Purple,Nino Tempo and April Stevens
Wipe Out,The Surfaris
Wipe Out,The Surfaris
I Love You Because,Al Martino
"Painted, Tainted Rose",Al Martino
I Love You More and More Every Day,Al Martino
Wild Weekend,The Rockin' Rebels
Mockingbird,Inez and Charlie Foxx
I Will Follow Him,Little Peggy March
Pipeline,The Chantays
Surf City,Jan and Dean
Dead Man's Curve,Jan and Dean
The Little Old Lady from Pasadena,Jan and Dean
Blame It On The Bossa Nova,Eydie Gorme
Heat Wave,Martha and The Vandellas
Come and Get These Memories,Martha and The Vandellas
Dancing in the Street,Martha and The Vandellas
Nowhere to Run,Martha and The Vandellas
Jimmy Mack,Martha and The Vandellas
Denise,Randy and The Rainbows
Walk Right In,The Rooftop Singers
If I Had A Hammer,Trini Lopez
Easier Said Than Done,The Essex
Maria Elena,Los Indios Tabajaras
Our Day Will Come,Ruby And The Romantics
Hello Stranger,Barbara Lewis
Baby I'm Yours,Barbara Lewis
Be My Baby,The Ronettes
The Monkey Time,Major Lance
"Um, Um, Um, Um, Um, Um",Major Lance
Candy Girl,The Four Seasons
Rag Doll,The Four Seasons
Dawn (Go Away),The Four Seasons
Ronnie,The Four Seasons
Still,Bill Anderson
Cry Baby,Garnet Mimms and the Enchanters
Two Faces Have I,Lou Christie
Lightnin' Strikes,Lou Christie
I'm Gonna Make You Mine,Lou Christie
"Memphis, Tennessee",Lonnie Mack
More,Kai Winding
Our Winter Love,Bill Pursell
I Wanna Be Around,Tony Bennett
Sally Go 'Round the Roses,The Jaynetts
Pride and Joy,Marvin Gaye
I'll Be Doggone,Marvin Gaye
How Sweet It Is (To Be Loved by You),Marvin Gaye
Too Busy Thinking About My Baby,Marvin Gaye
That's The Way Love Is,Marvin Gaye
I Heard It Through The Grapevine,Marvin Gaye
Walking the Dog,Rufus Thomas
From a Jack to a King,Ned Miller
What Will My Mary Say,Johnny Mathis
Mama Didn't Lie,Jan Bradley
Don't Say Nothin' Bad (About My Baby),The Cookies
Ring of Fire,Johnny Cash
A Boy Named Sue,Johnny Cash
Just One Look,Doris Troy
"Hello Muddah, Hello Faddah! (A Letter from Camp)",Allan Sherman
"Tie Me Kangaroo Down, Sport",Rolf Harris
Talk to Me,Sunny and the Sunglows
500 Miles,Bobby Bare
I Want to Hold Your Hand,The Beatles
She Loves You,The Beatles
A Hard Day's Night,The Beatles
Love Me Do,The Beatles
Please Please Me,The Beatles
Twist and Shout,The Beatles
Can't Buy Me Love,The Beatles
Do You Want to Know a Secret,The Beatles
I Saw Her Standing There,The Beatles
Help!,The Beatles
Ticket to Ride,The Beatles
Eight Days a Week,The Beatles
We Can Work It Out,The Beatles
Paperback Writer,The Beatles
Nowhere Man,The Beatles
Yellow Submarine,The Beatles
All You Need Is Love,The Beatles
Penny Lane,The Beatles
Hey Jude,The Beatles
Lady Madonna,The Beatles
Revolution,The Beatles
Something,The Beatles
Come Together,The Beatles
"Hello, Dolly!",Louis Armstrong
Everybody Loves Somebody,Dean Martin
The Door Is Still Open to My Heart,Dean Martin
We'll Sing in the Sunshine,Gale Garnett
Last Kiss,J. Frank Wilson and the Cavaliers
Where Did Our Love Go,The Supremes
Baby Love,The Supremes
Stop! In the Name of Love,The Supremes
Back in My Arms Again,The Supremes
You Can't Hurry Love,The Supremes
You Keep Me Hangin' On,The Supremes
My World Is Empty Without You,The Supremes
Love Is Here And Now You're Gone,The Supremes
The Happening,The Supremes
Reflections,The Supremes
Love Child,The Supremes
People,Barbra Streisand
Java,Al Hirt
Cotton Candy,Al Hirt
Do Wah Diddy Diddy,Manfred Mann
The Mighty Quinn,Manfred Mann
Little Children,Billy J. Kramer and The Dakotas
Bad to Me,Billy J. Kramer and The Dakotas
Love Me with All Your Heart (Cuando Calienta El Sol),The Ray Charles Singers
Chapel of Love,The Dixie Cups
Suspicion,Terry Stafford
Because,The Dave Clark Five
Can't You See That She's Mine,The Dave Clark Five
Do You Love Me,The Dave Clark Five
Bread and Butter,The Newbeats
A World Without Love,Peter and Gordon
I Go to Pieces,Peter and Gordon
True Love Ways,Peter and Gordon
Lady Godiva,Peter and Gordon
Woman,Peter and Gordon
Have I the Right?,The Honeycombs
Don't Let the Rain Come Down (Crooked Little Man),The Serendipity Singers
Let It Be Me,Betty Everett and Jerry Butler
Wishin' and Hopin',Dusty Springfield
You Don't Have To Say You Love Me,Dusty Springfield
Walk On By,Dionne Warwick
Anyone Who Had a Heart,Dionne Warwick
Message To Michael,Dionne Warwick
Alfie,Dionne Warwick
(Theme From) Valley Of The Dolls,Dionne Warwick
Do You Know The Way To San Jose,Dionne Warwick
This Girl's In Love With You,Dionne Warwick
The House of the Rising Sun,The Animals
We Gotta Get out of This Place,The Animals
Sky Pilot,The Animals
G.T.O.,Ronny and the Daytonas
Memphis,Johnny Rivers
The Seventh Son,Johnny Rivers
Poor Side of Town,Johnny Rivers
Secret Agent Man,Johnny Rivers
Baby I Need Your Lovin',Johnny Rivers
White On White,Danny Williams
Hey Little Cobra,The Rip Chords
The Shoop Shoop Song (It's in His Kiss),Betty Everett
My Boy Lollipop,Millie Small
Don't Let the Sun Catch You Crying,Gerry and the Pacemakers
How Do You Do It?,Gerry and the Pacemakers
Ferry Cross the Mersey,Gerry and the Pacemakers
A Summer Song,Chad and Jeremy
The Girl from Ipanema,Stan Getz and Astrud Gilberto
Remember (Walking in the Sand),The Shangri-Las
Leader of the Pack,The Shangri-Las
C'mon and Swim,Bobby Freeman
Baby I Need Your Loving,The Four Tops
Navy Blue,Diane Renay
Diane,The Bachelors
Out of Limits,The Marketts
Little Honda,The Hondells
See the Funny Little Clown,Bobby Goldsboro
Little Things,Bobby Goldsboro
Honey,Bobby Goldsboro
(Just Like) Romeo and Juliet,The Reflections
Today,The New Christy Minstrels
Funny How Time Slips Away,Joe Hinton
The Way You Do the Things You Do,The Temptations
My Girl,The Temptations
Ain't Too Proud to Beg,The Temptations
Beauty Is Only Skin Deep,The Temptations
You're My Everything,The Temptations
I Wish It Would Rain,The Temptations
I Can't Get Next To You,The Temptations
"Run Away Child, Running Wild",The Temptations
Surfin' Bird,The Trashmen
What Kind of Fool (Do You Think I Am),The Tams
You Really Got Me,The Kinks
Tired of Waiting for You,The Kinks
All Day and All of the Night,The Kinks
The Shelter of Your Arms,Sammy Davis Jr.
I've Gotta Be Me,Sammy Davis Jr.
I Wanna Love Him So Bad,The Jelly Beans
Chug-a-Lug,Roger Miller
Dang Me,Roger Miller
King of the Road,Roger Miller
(You Don't Know) How Glad I Am,Nancy Wilson
Money (That's What I Want),The Kingsmen
Louie Louie,The Kingsmen
The Jolly Green Giant,The Kingsmen
Don't Throw Your Love Away,The Searchers
Needles and Pins,The Searchers
Love Potion No. 9,The Searchers
Hi-Heel Sneakers,Tommy Tucker
Shangri-La,Robert Maxwell
Haunted House,Jumpin' Gene Simmons
Steal Away,Jimmy Hughes
Wooly Bully,Sam the Sham and the Pharaohs
Li'l Red Riding Hood,Sam the Sham and the Pharaohs
I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops
It's the Same Old Song,Four Tops
Reach Out I'll Be There,Four Tops
Bernadette,Four Tops
(I Can't Get No) Satisfaction,The Rolling Stones
The Last Time,The Rolling Stones
"Paint It, Black",The Rolling Stones
19th Nervous Breakdown,The Rolling Stones
Ruby Tuesday,The Rolling Stones
Jumpin' Jack Flash,The Rolling Stones
Honky Tonk Women,The Rolling Stones
You Were on My Mind,We Five
You've Lost That Lovin' Feelin',The Righteous Brothers
Unchained Melody,The Righteous Brothers
Just Once in My Life,The Righteous Brothers
(You're My) Soul and Inspiration,The Righteous Brothers
Downtown,Petula Clark
I Know a Place,Petula Clark
My Love,Petula Clark
This Is My Song,Petula Clark
Don't Sleep In The Subway,Petula Clark
Can't You Hear My Heartbeat,Herman's Hermits
"Mrs. Brown, You've Got a Lovely Daughter",Herman's Hermits
Silhouettes,Herman's Hermits
"I'm Henry the Eighth, I Am",Herman's Hermits
Wonderful World,Herman's Hermits
Dandy,Herman's Hermits
There's A Kind Of Hush,Herman's Hermits
The Birds and the Bees,Jewel Akens
"Hold Me, Thrill Me, Kiss Me",Mel Carter
Shotgun,Junior Walker and the All Stars
I Got You Babe,Sonny and Cher
Baby Don't Go,Sonny and Cher
The Beat Goes On,Sonny and Cher
This Diamond Ring,Gary Lewis and The Playboys
Save Your Heart for Me,Gary Lewis and The Playboys
Count Me In,Gary Lewis and The Playboys
She's Just My Style,Gary Lewis and The Playboys
Sealed With A Kiss,Gary Lewis and The Playboys
The 'In' Crowd,Ramsey Lewis Trio
I'll Never Find Another You,The Seekers
Georgy Girl,The Seekers
Mr. Tambourine Man,The Byrds
Cast Your Fate to the Wind,Sounds Orchestral
"Yes, I'm Ready",Barbara Mason
What's New Pussycat?,Tom Jones
It's Not Unusual,Tom Jones
"Green, Green Grass Of Home",Tom Jones
Delilah,Tom Jones
I'll Never Fall In Love Again,Tom Jones
Love Me Tonight,Tom Jones
Eve of Destruction,Barry McGuire
Hang On Sloopy,The McCoys
Papa's Got a Brand New Bag,James Brown
Mother Popcorn (Part I),James Brown
Game of Love,Wayne Fontana and The Mindbenders
The Name Game,Shirley Ellis
"Hush, Hush, Sweet Charlotte",Patti Page
Like a Rolling Stone,Bob Dylan
Rainy Day Women #12 And 35,Bob Dylan
Lay Lady Lay,Bob Dylan
I'm Telling You Now,Freddie and the Dreamers
A Walk in the Black Forest,Horst Jankowski
For Your Love,The Yardbirds
Heart Full of Soul,The Yardbirds
Shapes Of Things,The Yardbirds
Go Now,The Moody Blues
Goldfinger,Shirley Bassey
Down in the Boondocks,Billy Joe Royal
Baby the Rain Must Fall,Glenn Yarbrough
Just a Little,The Beau Brummels
"Laugh, Laugh",The Beau Brummels
You Turn Me On,Ian Whitcomb
What the World Needs Now Is Love,Jackie DeShannon
Put A Little Love In Your Heart,Jackie DeShannon
She's About a Mover,Sir Douglas Quintet
It Ain't Me Babe,The Turtles
Happy Together,The Turtles
She'd Rather Be With Me,The Turtles
Elenore,The Turtles
You Showed Me,The Turtles
Tell Her No,The Zombies
Red Roses for a Blue Lady,Vic Dana
Don't Just Stand There,Patty Duke
You've Got Your Troubles,The Fortunes
Hold What You've Got,Joe Tex
Do You Believe in Magic,The Lovin' Spoonful
Summer In The City,The Lovin' Spoonful
Daydream,The Lovin' Spoonful
Did You Ever Have to Make Up Your Mind?,The Lovin' Spoonful
All I Really Want to Do,Cher
Bang Bang (My Baby Shot Me Down),Cher
Take Me Back,Little Anthony and the Imperials
I Want Candy,The Strangeloves
Laugh at Me,Sonny
Treat Her Right,Roy Head
The Race Is On,Jack Jones
I'm a Fool,"Dino, Desi and Billy"
The Boy from New York City,The Ad Libs
Ballad of the Green Berets,SSgt Barry Sadler
Cherish,The Association
Windy,The Association
Never My Love,The Association
96 Tears,? and the Mysterians
Last Train to Clarksville,The Monkees
I'm A Believer,The Monkees
"A Little Bit You, A Little Bit Me",The Monkees
Pleasant Valley Sunday,The Monkees
Daydream Believer,The Monkees
"Monday, Monday",The Mamas and The Papas
California Dreamin',The Mamas and The Papas
Dedicated To The One I Love,The Mamas and The Papas
Born Free,Roger Williams
These Boots Are Made for Walkin',Nancy Sinatra
What Becomes of the Brokenhearted,Jimmy Ruffin
Strangers in the Night,Frank Sinatra
Good Lovin',The Young Rascals
Groovin',The Young Rascals
I've Been Lonely Too Long,The Young Rascals
How Can I Be Sure,The Young Rascals
Winchester Cathedral,The New Vaudeville Band
Hanky Panky,Tommy James and The Shondells
I Think We're Alone Now,Tommy James and The Shondells
Mirage,Tommy James and The Shondells
"Mony, Mony",Tommy James and The Shondells
Crimson And Clover,Tommy James and The Shondells
Crystal Blue Persuasion,Tommy James and The Shondells
When a Man Loves a Woman,Percy Sledge
Take Time To Know Her,Percy Sledge
Wild Thing,The Troggs
Kicks,Paul Revere and The Raiders
Just Like Me,Paul Revere and The Raiders
Hungry,Paul Revere and The Raiders
"Mr. Sun, Mr. Moon",Paul Revere and The Raiders
Let Me,Paul Revere and The Raiders
Sunshine Superman,Donovan
Hurdy Gurdy Man,Donovan
Atlantis,Donovan
Sunny,Bobby Hebb
See You In September,The Happenings
I Got Rhythm,The Happenings
Devil with a Blue Dress On/Good Golly Miss Molly,Mitch Ryder and the Detroit Wheels
A Groovy Kind of Love,The Mindbenders
Cool Jerk,The Capitols
Born a Woman,Sandy Posey
I Take It Back,Sandy Posey
Red Rubber Ball,The Cyrkle
Walk Away Renee,The Left Banke
Time Won't Let Me,The Outsiders
Bus Stop,The Hollies
On A Carousel,The Hollies
Carrie Ann,The Hollies
I'm Your Puppet,James and Bobby Purify
I'm So Lonesome I Could Cry,B. J. Thomas
Hooked On A Feeling,B. J. Thomas
Dirty Water,The Standells
Elusive Butterfly,Bob Lind
I Am a Rock,Simon and Garfunkel
The Sound of Silence,Simon and Garfunkel
Homeward Bound,Simon and Garfunkel
Mrs. Robinson,Simon and Garfunkel
Scarborough Fair / Canticle,Simon and Garfunkel
Barefootin',Robert Parker
Psychotic Reaction,Count Five
No Matter What Shape (Your Stomach Is In),The T-Bones
Love Makes The World Go Round,Deon Jackson
The Pied Piper,Crispian St. Peters
Somewhere My Love,Ray Conniff Singers
Almost Persuaded,David Houston
Don't Mess With Bill,Marvelettes
"Cherry, Cherry",Neil Diamond
"Girl, You'll Be A Woman Soon",Neil Diamond
Thank The Lord For The Night Time,Neil Diamond
Sweet Caroline,Neil Diamond
Love Is A Hurtin' Thing,Lou Rawls
