Rank,Artist,Title,Year,SpotifyPlayCounts
57,Ian Whitcomb,You Turn Me On,1965,
58,Marvin Gaye,I'll Be Doggone,1965,
59,Gary Lewis and The Playboys,Save Your Heart For Me,1965,
60,Kinks,Tired Of Waiting For You,1965,
61,Gary Lewis and The Playboys,Count Me In,1965,
62,Kinks,All Day And All Of The Night,1965,
63,Jackie DeShannon,What The World Needs Now Is Love,1965,
64,Tom Jones,It's Not Unusual,1965,
65,Sir Douglas Quintet,She's About A Mover,1965,
66,Sam Cooke,Shake,1965,
67,Herman's Hermits,Wonderful World,1965,
68,Martha and The Vandellas,Nowhere To Run,1965,
69,Yardbirds,Heart Full Of Soul,1965,
70,Searchers,Love Potion Number Nine,1965,
71,Dickle Lee,Laurie (Strange Things Happen),1965,
72,Sonny and Cher,Baby Don't Go,1965,
73,Turtles,It Ain't Me Babe,1965,
74,Zombies,Tell Her No,1965,
75,Peter and Gordon,I Go To Pieces,1965,
76,Vic Dana,Red Roses For A Blue Lady,1965,
77,Patty Duke,Don't Just Stand There,1965,
78,Miracles,The Tracks Of My Tears,1965,
79,Brenda Lee,Too Many Rivers,1965,
80,Dave Clark Five,I Like It Like That,1965,
81,Bobby Goldsboro,Little Things,1965,
82,Peter and Gordon,True Love Ways,1965,
83,Four Tops,It's The Same Old Song,1965,
84,Fortunes,You've Got Your Troubles,1965,
85,Joe Tex,Hold What You've Got,1965,
86,Animals,We Gotta Get Out Of This Place,1965,
87,Beau Brummels,"Laugh, Laugh",1965,
88,Rolling Stones,The Last Time,1965,
89,Lovin' Spoonful,Do You Believe In Magic,1965,
90,Cher,All I Really Want To Do,1965,
91,Little Anthony and The Imperials,Take Me Back,1965,
92,Strangeloves,I Want Candy,1965,
93,Miracles,Ooo Baby Baby,1965,
94,Sonny,Laugh At Me,1965,
95,Roy Head,Treat Her Right,1965,
96,Jack Jones,The Race Is On,1965,
97,"Dino, Desi and Billy",I'm A Fool,1965,
98,Ad Libs,The Boy From New York City,1965,
99,Del Shannon,Keep Searchin',1965,
100,Marvin Gaye,How Sweet It Is (To Be Loved By You),1965,
1,Sgt. Barry Sadler,The Ballad Of The Green Berets,1966,
2,Association,Cherish,1966,
3,Righteous Brothers,(You're My) Soul And Inspiration,1966,
4,Four Tops,Reach Out I'll Be There,1966,
5,? and The Mysterians,96 Tears,1966,
6,Monkees,Last Train To Clarksville,1966,
7,Mama's and The Papa's,"Monday, Monday",1966,
8,Supremes,You Can't Hurry Love,1966,
9,Johnny Rivers,Poor Side Of Town,1966,
10,Mama's and The Papa's,California Dreamin',1966,
11,Lovin' Spoonful,Summer In The City,1966,
12,Roger Williams,Born Free,1966,
13,Nancy Sinatra,These Boots Are Made For Walkin',1966,
14,Jimmy Ruffin,What Becomes Of The Brokenhearted,1966,
15,Frank Sinatra,Strangers In The Night,1966,
16,Beatles,We Can Work It Out,1966,
17,Young Rascals,Good Lovin',1966,
18,New Vaudeville Band,Winchester Cathedral,1966,
19,Tommy James and The Shondells,Hanky Panky,1966,
20,Percy Sledge,When A Man Loves A Woman,1966,
21,Rolling Stones,Paint It Black,1966,
22,Petula Clark,My Love,1966,
23,Lou Christie,Lightnin' Strikes,1966,
24,Troggs,Wild Thing,1966,
25,Paul Revere and The Raiders,Kicks,1966,
26,Donovan,Sunshine Superman,1966,
27,Bobby Hebb,Sunny,1966,
28,Beatles,Paperback Writer,1966,
29,Happenings,See You In September,1966,
30,Supremes,You Keep Me Hangin' On,1966,
31,Sam The Sham and The Pharaohs,Lil' Red Riding Hood,1966,
32,Mitch Ryder and The Detroit Wheels,Devil With A Blue Dress On and Good Golly Miss Molly (Medley),1966,
33,Beach Boys,Good Vibrations,1966,
34,Mindbenders,A Groovy Kind Of Love,1966,
35,Dusty Springfield,You Don't Have To Say You Love Me,1966,
36,Capitols,Cool Jerk,1966,
37,Sandy Posey,Born A Woman,1966,
38,Cyrkle,Red Rubber Ball,1966,
39,Carla Thomas,B-A-B-Y,1966,
40,Left Banke,Walk Away Renee,1966,
41,Lovin' Spoonful,Daydream,1966,
42,Outsiders,Time Won't Let Me,1966,
43,Tommy Roe,Hooray For Hazel,1966,
44,Tommy Roe,Sweet Pea,1966,
45,Hollies,Bus Stop,1966,
46,James and Bobby Purify,I'm Your Puppet,1966,
47,B.J. Thomas and The Triumphs,I'm So Lonesome I Could Cry,1966,
48,Temptations,Ain't Too Proud To Beg,1966,
49,Standells,Dirty Water,1966,
50,Bob Lind,Elusive Butterfly,1966,
51,Simon and Garfunkel,I Am A Rock,1966,
52,Ray Charles,Crying Time,1966,
53,Johnny Rivers,Secret Agent Man,1966,
54,Simon and Garfunkel,The Sounds Of Silence,1966,
55,Peter and Gordon,Lady Godiva,1966,
56,Simon and Garfunkel,Homeward Bound,1966,
57,Lovin' Spoonful,Did You Ever Have To Make Up Your Mind?,1966,
58,Robert Parker,Barefootin',1966,
59,Stevie Wonder,Uptight (Everything's Alright),1966,
60,Cher,Bang Bang,1966,
61,Beach Boys,Sloop John B,1966,
62,Rolling Stones,19th Nervous Breakdown,1966,
63,Surfaris,Wipe Out,1966,
64,Count Five,Psychotic Reaction,1966,
65,Temptations,Beauty Is Only Skin Deep,1966,
66,T-Bones,No Matter What Shape (Your Stomach Is In),1966,
67,Paul Revere and The Raiders,Just Like Me,1966,
68,Deon Jackson,Love Makes The World Go Round,1966,
69,Crispian St. Peters,The Pied Piper,1966,
70,Brenda Lee,Coming On Strong,1966,
71,Ray Conniff and The Singers,Somewhere My Love,1966,
72,David Houston,Almost Persuaded,1966,
73,Bobby Darin,If I Were A Carpenter,1966,
74,Marvelettes,Don't Mess With Bill,1966,
75,Neil Diamond,"Cherry, Cherry",1966,
76,Lee Dorsey,Working In The Coal Mine,1966,
77,Dionne Warwick,Message To Michael,1966,
78,Lou Rawls,Love Is A Hurtin' Thing,1966,
79,Beach Boys,Barbara Ann,1966,
80,Shadows Of Knight,Gloria,1966,
81,Supremes,My World Is Empty Without You,1966,
82,Bob Dylan,Rainy Day Women #12 And 35,1966,
83,Sandpipers,Guantanamera,1966,
84,Wilson Pickett,"Land Of 1,000 Dances",1966,
85,Shades Of Blue,Oh How Happy,1966,
86,Peter and Gordon,Woman,1966,
87,Turtles,You Baby,1966,
88,Vogues,Five O'clock World,1966,
89,Los Bravos,Black Is Black,1966,
90,Beatles,Nowhere Man,1966,
91,Herman's Hermits,Dandy,1966,
92,Slim Harpo,Baby Scratch My Back,1966,
93,Gary Lewis and The Playboys,She's Just My Style,1966,
94,Chris Montez,The More I See You,1966,
95,Bobby Fuller Four,I Fought The Law,1966,
96,Beatles,Yellow Submarine,1966,
97,Paul Revere and The Raiders,Hungry,1966,
98,Herb Alpert and The Tijuana Brass,Zorba The Greek,1966,
99,Yardbirds,Shapes Of Things,1966,
100,Wilson Pickett,634-5789,1966,
1,Lulu,To Sir With Love,1967,
2,Box Tops,The Letter,1967,
3,Bobby Gentry,Ode To Billie Joe,1967,
4,Association,Windy,1967,
5,Monkees,I'm A Believer,1967,
6,Doors,Light My Fire,1967,
7,Nancy Sinatra and Frank Sinatra,Somethin' Stupid,1967,
8,Turtles,Happy Together,1967,
9,Young Rascals,Groovin',1967,
10,Frankie Valli,Can't Take My Eyes Off You,1967,
11,Music Explosion,Little Bit O' Soul,1967,
12,Tommy James and The Shondells,I Think We're Alone Now,1967,
13,Aretha Franklin,Respect,1967,
14,Stevie Wonder,I Was Made To Love Her,1967,
15,Bobby Vee and The Strangers,Come Back When You Grow Up,1967,
16,Buckinghams,Kind Of A Drag,1967,
17,Arthur Conley,Sweet Soul Music,1967,
18,Soul Survivors,Expressway To Your Heart,1967,
19,Sam and Dave,Soul Man,1967,
20,Association,Never My Love,1967,
21,Jay and The Techniques,"Apples, Peaches, Pumpkin Pie",1967,
22,Every Mothers' Son,Come On Down To My Boat,1967,
23,Strawberry Alarm Clock,Incense And Peppermints,1967,
24,Rolling Stones,Ruby Tuesday,1967,
25,Vicki Carr,It Must Be Him,1967,
26,Brenton Wood,Gimme Little Sign,1967,
27,Buffalo Springfield,For What It's Worth,1967,
28,Supremes,Love Is Here And Now You're Gone,1967,
29,Supremes,The Happening,1967,
30,Beatles,All You Need Is Love,1967,
31,Engelbert Humperdinck,Release Me (And Let Me Love Again),1967,
32,Marvin Gaye and Tammi Terrell,Your Precious Love,1967,
33,Jefferson Airplane,Somebody To Love,1967,
34,Esquires,Get On Up,1967,
35,Van Morrison,Brown Eyed Girl,1967,
36,Martha and The Vandella,Jimmy Mack,1967,
37,Happenings,I Got Rhythm,1967,
38,Procol Harum,A Whiter Shade Of Pale,1967,
39,Buckinghams,Don't You Care,1967,
40,Casinos,Then You Can Tell Me Goodbye,1967,
41,Diana Ross and The Supremes,Reflections,1967,
42,Hollies,On A Carousel,1967,
43,Bobby Vinton,Please Love Me Forever,1967,
44,Dionne Warwick,Alfie,1967,
45,Tremeloes,Silence Is Golden,1967,
46,Ed Ames,My Cup Runneth Over,1967,
47,Fifth Dimension,"Up, Up And Away",1967,
48,Scott Mckenzie,San Francisco,1967,
49,Cowsills,"The Rain, The Park And Other Things",1967,
50,Herman's Hermits,There's A Kind Of Hush,1967,
51,Buckinghams,"Mercy, Mercy, Mercy",1967,
52,Petula Clark,This Is My Song,1967,
53,Jackie Wilson,(Your Love Keeps Lifting Me) Higher And Higher,1967,
54,Young Rascals,I've Been Lonely Too Long,1967,
55,Beatles,Penny Lane,1967,
56,Temptations,You're My Everything,1967,
57,Seekers,Georgy Girl,1967,
58,Five Americans,Western Union,1967,
59,Aretha Franklin,Baby I Love You,1967,
60,Monkees,"A Little Bit You, A Little Bit Me",1967,
61,Lesley Gore,California Nights,1967,
62,Mama's and The Papa's,Dedicated To The One I Love,1967,
63,Young Rascals,How Can I Be Sure,1967,
64,Hollies,Carrie Ann,1967,
65,Blue Magoos,(We Ain't Got) Nothin' Yet,1967,
66,Easy Beats,Friday On My Mind,1967,
67,Bar-Kays,Soul Finger,1967,
68,Spencer Davis Group,Gimme Some Lovin',1967,
69,Hombres,Let It Out (Let It All Hang Out),1967,
70,Grass Roots,Let's Live For Today,1967,
71,Peaches and Herb,Close Your Eyes,1967,
72,Booker T and The MG's,Groovin',1967,
73,Wilson Pickett,Funky Broadway,1967,
74,Monkees,Pleasant Valley Sunday,1967,
75,Aretha Franklin,I Never Loved A Man (The Way I Love You),1967,
76,Aaron Neville,Tell It Like It Is,1967,
77,James Brown and The Famous Flames,Cold Sweat,1967,
78,Turtles,She'd Rather Be With Me,1967,
79,Keith,98.6,1967,
80,Ray Charles,Here We Go Again,1967,
81,Jefferson Airplane,White Rabbit,1967,
82,Four Tops,Bernadette,1967,
83,Sonny and Cher,The Beat Goes On,1967,
84,Royal Guardsmen,Snoopy Vs. The Red Baron,1967,
85,Janis Ian,Society's Child,1967,
86,Neil Diamond,"Girl, You'll Be A Woman Soon",1967,
87,Marvin Gaye and Tammi Terrell,Ain't No Mountain High Enough,1967,
88,Sandy Posey,I Take It Back,1967,
89,Tremeloes,Here Comes My Baby,1967,
90,Robert Knight,Everlasting Love,1967,
91,"Peter, Paul and Mary",I Dig Rock And Roll Music,1967,
92,Bill Cosby,Little Ole Man (Uptight-Everything's Alright),1967,
93,Electric Prunes,I Had Too Much To Dream Last Night,1967,
94,Monkees,Daydream Believer,1967,
95,Johnny Rivers,Baby I Need Your Lovin',1967,
96,Who,I Can See For Miles,1967,
97,Tommy James and The Shondells,Mirage,1967,
98,Tom Jones,"Green, Green Grass Of Home",1967,
99,Petula Clark,Don't Sleep In The Subway,1967,
100,Neil Diamond,Thank The Lord For The Night Time,1967,
1,Beatles,Hey Jude,1968,
2,Paul Mauriat,Love Is Blue,1968,
3,Bobby Goldsboro,Honey,1968,
4,Otis Redding,(Sittin' On) The Dock Of The Bay,1968,
5,Rascals,People Got To Be Free,1968,
6,Cream,Sunshine Of Your Love,1968,
7,Herb Alpert,This Guy's In Love With You,1968,
8,Hugo Montenegro,"The Good, The Bad And The Ugly",1968,
9,Simon and Garfunkel,Mrs. Robinson,1968,
10,Archie Bell and The Drells,Tighten Up,1968,
11,Jeannie C. Riley,Harper Valley P.T.A.,1968,
12,O.C. Smith,Little Green Apples,1968,
13,Tommy James and The Shondells,"Mony, Mony",1968,
14,Doors,"Hello, I Love You",1968,
15,Gary Puckett and The Union Gap,Young Girl,1968,
16,Box Tops,Cry Like A Baby,1968,
17,Fifth Dimension,Stoned Soul Picnic,1968,
18,Hugh Masekela,Grazing In The Grass,1968,
19,Grass Roots,Midnight Confessions,1968,
20,Sly and The Family Stone,Dance To The Music,1968,
21,Cliff Nobles and Co.,The Horse,1968,
22,Temptations,I Wish It Would Rain,1968,
23,Delfonics,La-La Means I Love You,1968,
24,Vogues,"Turn Around, Look At Me",1968,
25,John Fred and His Playboy Band,Judy In Disguise (With Glasses),1968,
26,Classics IV,Spooky,1968,
27,Diana Ross and The Supremes,Love Child,1968,
28,Merrilee Rush,Angel Of The Morning,1968,
29,Georgie Fame,The Ballad Of Bonnie And Clyde,1968,
30,Mary Hopkin,Those Were The Days,1968,
31,Steppenwolf,Born To Be Wild,1968,
32,Intruders,Cowboys To Girls,1968,
33,1910 Fruitgum Company,Simon Says,1968,
34,Gary Puckett and The Union Gap,Lady Willpower,1968,
35,Rascals,A Beautiful Morning,1968,
36,Sergio Mendes and Brasil '66,The Look Of Love,1968,
37,Johnny Nash,Hold Me Tight,1968,
38,Ohio Express,"Yummy, Yummy, Yummy",1968,
39,Crazy World Of Arthur Brown,Fire,1968,
40,Troggs,Love Is All Around,1968,
41,Gene and Debbe,Playboy,1968,
42,Dionne Warwick,(Theme From) Valley Of The Dolls,1968,
43,Mason Williams,Classical Gas,1968,
44,Clarence Carter,Slip Away,1968,
45,O'Kaysions,Girl Watcher,1968,
46,Aretha Franklin,(Sweet Sweet Baby) Since You've Been Gone,1968,
47,Lemon Pipers,Green Tambourine,1968,
48,1910 Fruitgum Company,"1, 2, 3, Red Light",1968,
49,Friend and Lover,Reach Out Of The Darkness,1968,
50,Rolling Stones,Jumpin' Jack Flash,1968,
51,Richard Harris,MacArthur Park,1968,
52,Jose Feliciano,Light My Fire,1968,
53,People,I Love You,1968,
54,Percy Sledge,Take Time To Know Her,1968,
55,Status Quo,Pictures Of Matchstick Men,1968,
56,Blue Cheer,Summertime Blues,1968,
57,Marvin Gaye and Tammi Terrell,Ain't Nothing Like The Real Thing,1968,
58,James Brown and The Famous Flames,I Got The Feelin',1968,
59,Bee Gees,I've Gotta Get A Message To You,1968,
60,Beatles,Lady Madonna,1968,
61,Donovan,Hurdy Gurdy Man,1968,
62,Steppenwolf,Magic Carpet Ride,1968,
63,Fireballs,Bottle Of Wine,1968,
64,Dells,Stay In My Corner,1968,
65,Willie Mitchell,Soul Serenade,1968,
66,Tom Jones,Delilah,1968,
67,Human Beinz,Nobody But Me,1968,
68,Sam and Dave,I Thank You,1968,
69,Sergio Mendes and Brasil '66,The Fool On The Hill,1968,
70,Eric Burdon and The Animals,Sky Pilot,1968,
71,Cowsills,Indian Lake,1968,
72,Tommy Boyce and Bobby Hart,I Wonder What She's Doing Tonight,1968,
73,Gary Puckett and The Union Gap,Over You,1968,
74,Lettermen,Goin' Out Of My Head / Can't Take My Eyes Off You,1968,
75,Stevie Wonder,Shoo-Bee-Doo-Be-Doo-Da-Day,1968,
76,Irish Rovers,The Unicorn,1968,
77,Vanilla Fudge,(You Keep Me) Hangin' On,1968,
78,Beatles,Revolution,1968,
79,Gary Puckett and The Union Gap,"Woman, Woman",1968,
80,Turtles,Elenore,1968,
81,Cream,White Room,1968,
82,Marvin Gaye and Tammi Terrell,You're All I Need To Get By,1968,
83,Foundations,"Baby, Now That I've Found You",1968,
84,Sweet Inspirations,Sweet Inspiration,1968,
85,Smokey Robinson and The Miracles,If You Can Want,1968,
86,Mills Brothers,Cab Driver,1968,
87,Chambers Brothers,Time Has Come Today,1968,
88,Dionne Warwick,Do You Know The Way To San Jose,1968,
89,Simon and Garfunkel,Scarborough Fair / Canticle,1968,
90,James Brown and The Famous Flames,Say It Loud I'm Black And I'm Proud,1968,
91,Manfred Mann,The Mighty Quinn,1968,
92,Shorty Long,Here Comes The Judge,1968,
93,Aretha Franklin,I Say A Little Prayer,1968,
94,Aretha Franklin,Think,1968,
95,Gary Lewis and The Playboys,Sealed With A Kiss,1968,
96,Big Brother and The Holding Company,Piece Of My Heart,1968,
97,Creedence Clearwater Revival,Suzie Q.,1968,
98,American Breed,Bend Me Shape Me,1968,
99,Jerry Butler,"Hey, Western Union Man",1968,
100,Jerry Butler,Never Give You Up,1968,
1,Archies,"Sugar, Sugar",1969,
2,Fifth Dimension,Aquarius / Let The Sunshine In,1969,
3,Temptations,I Can't Get Next To You,1969,
4,Rolling Stones,Honky Tonk Women,1969,
5,Sly and The Family Stone,Everyday People,1969,
6,Tommy Roe,Dizzy,1969,
7,Sly and The Family Stone,Hot Fun In The Summertime,1969,
8,Tom Jones,I'll Never Fall In Love Again,1969,
9,Foundations,Build Me Up Buttercup,1969,
10,Tommy James and The Shondells,Crimson And Clover,1969,
11,Three Dog Night,One,1969,
12,Tommy James and The Shondells,Crystal Blue Persuasion,1969,
13,Cowsills,Hair,1969,
14,Marvin Gaye,Too Busy Thinking About My Baby,1969,
15,Henry Mancini and His Orch.,Love Theme From Romeo And Juliet,1969,
16,Youngbloods,Get Together,1969,
17,Friends Of Distinction,Grazin' In The Grass,1969,
18,Elvis Presley,Suspicious Minds,1969,
19,Creedence Clearwater Revival,Proud Mary,1969,
20,Jr. Walker and The All Stars,What Does It Take (To Win Your Love),1969,
21,Isley Brothers,It's Your Thing,1969,
22,Neil Diamond,Sweet Caroline,1969,
23,Oliver,Jean,1969,
24,Creedence Clearwater Revival,Bad Moon Rising,1969,
25,Beatles,Get Back,1969,
26,Zager and Evans,In The Year 2525,1969,
27,"Blood, Sweat and Tears",Spinning Wheel,1969,
28,Andy Kim,"Baby, I Love You",1969,
29,Friends Of Distinction,Going In Circles,1969,
30,Lettermen,Hurt So Bad,1969,
31,Creedence Clearwater Revival,Green River,1969,
32,Stevie Wonder,My Cherie Amour,1969,
33,Three Dog Night,Easy To Be Hard,1969,
34,Smith,Baby It's You,1969,
35,Elvis Presley,In The Ghetto,1969,
36,Johnny Cash,A Boy Named Sue,1969,
37,Smokey Robinson and The Miracles,"Baby, Baby Don't Cry",1969,
38,Jerry Butler,Only The Strong Survive,1969,
39,Zombies,Time Of The Season,1969,
40,Fifth Dimension,Wedding Bell Blues,1969,
41,Bobby Sherman,Little Woman,1969,
42,Mercy,Love (Can Make You Happy),1969,
43,Oliver,Good Morning Starshine,1969,
44,Guess Who,These Eyes,1969,
45,"Blood, Sweat and Tears",You've Made Me So Very Happy,1969,
46,Jackie DeShannon,Put A Little Love In Your Heart,1969,
47,Watts 103rd Street Rhythm Band,Do Your Thing,1969,
48,Grass Roots,I'd Wait A Million Years,1969,
49,Doors,Touch Me,1969,
50,Spiral Starecase,More Today Than Yesterday,1969,
51,Sammy Davis Jr.,I've Gotta Be Me,1969,
52,Bob Dylan,Lay Lady Lay,1969,
53,Donovan,Atlantis,1969,
54,Dennis Yost and The Classics IV,Traces,1969,
55,Mama Cass Elliot,It's Getting Better,1969,
56,Jay and The Americans,This Magic Moment,1969,
57,Temptations,"Run Away Child, Running Wild",1969,
58,Ventures,Hawaii Five-O,1969,
59,Glen Campbell,Galveston,1969,
60,Lou Christie,I'm Gonna Make You Mine,1969,
61,Ray Stevens,Gitarzan,1969,
62,Tyrone Davis,Can I Change My Mind,1969,
63,Booker T and The MG's,Time Is Tight,1969,
64,Dionne Warwick,This Girl's In Love With You,1969,
65,Winstons,Color Him Father,1969,
66,"Sonny Charles and The Checkmates, Ltd.",Black Pearl,1969,
67,1910 Fruitgum Company,Indian Giver,1969,
68,James Brown,Mother Popcorn (Part I),1969,
69,Edwin Starr,Twenty-five Miles,1969,
70,New Colony Six,Things I'd Like To Say,1969,
71,Motherlode,When I Die,1969,
72,Marvin Gaye,That's The Way Love Is,1969,
73,Nilsson,Everybody's Talkin',1969,
74,Brooklyn Bridge,Worst That Could Happen,1969,
75,Joe Simon,Chokin' Kind,1969,
76,Flying Machine,Smile A Little Smile For Me,1969,
77,Tony Joe White,Polk Salad Annie,1969,
78,Kenny Rogers and The First Edition,"Ruby, Don't Take Your Love To Town",1969,
79,Joe South,Games People Play,1969,
80,Turtles,You Showed Me,1969,
81,Cuff Links,Tracy,1969,
82,Dells,"Oh, What A Night",1969,
83,Beatles,Something,1969,
84,Gary Puckett and The Union Gap,This Girl Is A Woman Now,1969,
85,Beatles,Come Together,1969,
86,Bob Seger System,Ramblin' Gamblin' Man,1969,
87,Diana Ross and The Supremes and The Temptations,I'm Gonna Make You Love Me,1969,
88,Marvin Gaye,I Heard It Through The Grapevine,1969,
89,Crazy Elephant,Gimme Gimme Good Lovin',1969,
90,Booker T and The MG's,Hang 'Em High,1969,
91,Lou Rawls,Your Good Thing (Is About To End),1969,
92,Originals,Baby I'm For Real,1969,
93,Edwin Hawkins Singers,Oh Happy Day,1969,
94,Tom Jones,Love Me Tonight,1969,
95,Paul Revere and The Raiders,"Mr. Sun, Mr. Moon",1969,
96,Guess Who,Laughing,1969,
97,David Ruffin,My Whole World Ended (The Moment You Left Me),1969,
98,Box Tops,Soul Deep,1969,
99,B.J. Thomas,Hooked On A Feeling,1969,
100,Box Tops,Sweet Cream Ladies,1969,
